diameter,weight,cultivar
66,116.02,elstar
66,112.44,elstar
66,111.65,elstar
66,114.84,elstar
66,112.6,elstar
66,117.87,elstar
66,113.61,elstar
66,118.29,elstar
67,111.03,elstar
67,114.76,elstar
67,113.18,elstar
67,113.28,elstar
67,117.34,elstar
67,123.57,elstar
67,114.05,elstar
67,120.22,elstar
67,118.65,elstar
67,120.77,elstar
67,115.68,elstar
67,115.53,elstar
67,119.51,elstar
67,117.8,elstar
67,118.91,elstar
67,118.96,elstar
67,115.12,elstar
67,119.57,elstar
67,116.79,elstar
67,117.39,elstar
67,118.77,elstar
67,121.52,elstar
67,123.62,elstar
67,115.81,elstar
67,118.38,elstar
67,119.68,elstar
68,121.34,elstar
68,120.65,elstar
68,124.98,elstar
68,126.47,elstar
68,125.46,elstar
68,120.96,elstar
68,122.31,elstar
68,124.24,elstar
68,127.75,elstar
68,128.79,elstar
68,120.94,elstar
68,130.33,elstar
68,123.28,elstar
69,132.09,elstar
69,131.89,elstar
69,121.88,elstar
69,127.62,elstar
69,123.25,elstar
69,134.88,elstar
69,135.2,elstar
69,131.85,elstar
70,138.77,elstar
70,135.98,elstar
70,128.36,elstar
70,135.86,elstar
70,132.46,elstar
70,132.58,elstar
71,133.66,elstar
71,142.34,elstar
71,143.11,elstar
71,139.41,elstar
72,135.37,elstar
72,144.72,elstar
72,138.9,elstar
72,140.69,elstar
72,146.14,elstar
72,143.34,elstar
73,146.06,elstar
73,148.02,elstar
74,154.7,elstar
74,156.07,elstar
74,152.16,elstar
75,157.23,elstar
78,187.55,elstar
49,49.2,elstar
49,45.89,elstar
51,51.32,elstar
52,52.82,elstar
53,58.51,elstar
53,60.46,elstar
53,59.95,elstar
53,61.91,elstar
54,62.25,elstar
54,62.97,elstar
54,67.71,elstar
54,64.06,elstar
55,67.76,elstar
56,69.72,elstar
56,68.78,elstar
56,66.02,elstar
56,66.62,elstar
57,72.79,elstar
57,72.88,elstar
57,72.03,elstar
57,73.47,elstar
57,71.58,elstar
57,73.93,elstar
57,74.29,elstar
58,74.67,elstar
58,73.2,elstar
59,76.18,elstar
59,78.64,elstar
59,77.22,elstar
59,83.28,elstar
59,81.92,elstar
60,80.53,elstar
60,81.8,elstar
60,82.96,elstar
60,83.15,elstar
60,72.98,elstar
60,81.49,elstar
60,91.2,elstar
60,83.36,elstar
60,87.66,elstar
60,83.11,elstar
60,89.27,elstar
60,91.11,elstar
60,87,elstar
60,84.63,elstar
61,83.14,elstar
61,88.47,elstar
61,84.57,elstar
61,93.53,elstar
61,88.67,elstar
61,108.32,elstar
61,93.6,elstar
62,90.99,elstar
62,93.87,elstar
62,91.03,elstar
62,94.47,elstar
62,95.06,elstar
62,89.1,elstar
62,91.58,elstar
62,92.4,elstar
62,92.12,elstar
62,97.42,elstar
62,90.02,elstar
62,92.62,elstar
62,93.52,elstar
63,93.05,elstar
63,94.2,elstar
63,88.9,elstar
63,94.93,elstar
63,99.31,elstar
63,97.33,elstar
63,95.97,elstar
63,93.69,elstar
63,98.73,elstar
63,95.66,elstar
63,93.4,elstar
64,95.96,elstar
64,91.86,elstar
64,94.49,elstar
64,99.08,elstar
64,102.25,elstar
64,100.29,elstar
64,81.58,elstar
64,97.39,elstar
64,94.38,elstar
64,98.8,elstar
64,101.41,elstar
64,99.05,elstar
64,100.18,elstar
64,102.85,elstar
65,105.93,elstar
65,104.29,elstar
65,97.86,elstar
65,104.55,elstar
65,102.55,elstar
65,124.8,elstar
65,102.82,elstar
65,108.12,elstar
65,102.2,elstar
65,108.26,elstar
66,107.33,elstar
66,95.48,elstar
66,107.46,elstar
66,105.3,elstar
66,104.47,elstar
66,122.74,elstar
67,109.83,elstar
67,109.63,elstar
67,113.99,elstar
67,88.76,elstar
67,127.06,elstar
67,104.18,elstar
67,114.06,elstar
67,114.69,elstar
67,124.08,elstar
67,114.78,elstar
67,115.57,elstar
68,115.12,elstar
68,119.28,elstar
68,125.61,elstar
68,116.65,elstar
68,117.76,elstar
68,120.61,elstar
68,120.65,elstar
68,126.92,elstar
68,124.42,elstar
68,106.2,elstar
69,126.56,elstar
69,124.3,elstar
69,126.5,elstar
69,124.49,elstar
69,126.85,elstar
69,128.07,elstar
69,124.12,elstar
69,120.97,elstar
69,128.65,elstar
70,129.53,elstar
70,133.55,elstar
70,110.99,elstar
70,125.47,elstar
71,131.84,elstar
71,128.81,elstar
72,139.44,elstar
74,150.54,elstar
75,154.72,elstar
77,164.11,elstar
50,48.92,elstar
53,58.9,elstar
54,64.9,elstar
55,65.76,elstar
55,61.91,elstar
57,75.62,elstar
57,72.52,elstar
57,74.64,elstar
58,79.45,elstar
59,79.87,elstar
59,79.18,elstar
60,89.01,elstar
61,92.67,elstar
61,92.86,elstar
62,90.51,elstar
62,100.91,elstar
63,98.53,elstar
63,98.46,elstar
63,98.02,elstar
64,97.63,elstar
64,101.2,elstar
64,105.42,elstar
64,97.27,elstar
64,103.24,elstar
65,104.82,elstar
65,108.49,elstar
65,107.51,elstar
65,113.86,elstar
65,107.72,elstar
66,106.88,elstar
66,108.96,elstar
66,110.57,elstar
66,109.76,elstar
66,113.28,elstar
66,115.98,elstar
66,110.89,elstar
66,111.3,elstar
67,113.5,elstar
67,114.92,elstar
67,114.6,elstar
67,117.46,elstar
67,118.38,elstar
67,111.68,elstar
67,113.58,elstar
67,116.57,elstar
68,125.96,elstar
68,121.16,elstar
68,124.84,elstar
68,117.3,elstar
68,127.2,elstar
68,120.95,elstar
68,125.88,elstar
68,122.8,elstar
69,122.31,elstar
69,121.75,elstar
69,124.95,elstar
69,113.66,elstar
69,127.08,elstar
69,128.21,elstar
69,127.75,elstar
70,128.73,elstar
70,131.06,elstar
70,135.18,elstar
70,125.79,elstar
71,133.43,elstar
71,137.83,elstar
71,141,elstar
71,140.82,elstar
71,139.03,elstar
71,136.72,elstar
72,140.87,elstar
72,144.4,elstar
72,147.04,elstar
72,145.44,elstar
72,140.46,elstar
72,128.01,elstar
72,144.51,elstar
72,146.03,elstar
72,138.56,elstar
73,144.95,elstar
73,147.26,elstar
73,145.46,elstar
73,148.65,elstar
73,155.82,elstar
73,145.37,elstar
73,149.69,elstar
74,149.67,elstar
74,153.52,elstar
74,178.42,elstar
74,146.61,elstar
74,156.97,elstar
74,156.59,elstar
74,154.58,elstar
75,159,elstar
75,142.94,elstar
77,174.18,elstar
43,35.07,elstar
44,35.37,elstar
44,35.65,elstar
47,51.93,elstar
49,45.31,elstar
50,49.74,elstar
50,52.16,elstar
50,52.47,elstar
51,54.95,elstar
51,52.99,elstar
51,55.6,elstar
52,54.19,elstar
52,56.25,elstar
53,57.81,elstar
53,58.06,elstar
53,60.71,elstar
53,58.06,elstar
53,64.05,elstar
54,60.49,elstar
54,63.12,elstar
54,63.53,elstar
56,64.58,elstar
56,67.54,elstar
56,71.37,elstar
57,73.38,elstar
57,65.87,elstar
57,75.94,elstar
57,73.99,elstar
58,76.78,elstar
58,77.31,elstar
58,76.78,elstar
58,74.95,elstar
58,75.79,elstar
59,77.49,elstar
59,79.83,elstar
59,81.48,elstar
59,79.25,elstar
59,76.91,elstar
59,82.43,elstar
59,80.01,elstar
59,80.47,elstar
59,80.78,elstar
59,79.71,elstar
59,84.51,elstar
59,81.76,elstar
59,83.16,elstar
59,83.43,elstar
60,84.26,elstar
60,86.12,elstar
60,83.17,elstar
60,87.23,elstar
60,87.78,elstar
60,82.99,elstar
60,82.91,elstar
61,90.84,elstar
61,89.28,elstar
61,90.56,elstar
62,91.66,elstar
62,90.81,elstar
62,93.28,elstar
62,93.2,elstar
62,92.96,elstar
62,93.86,elstar
62,95.78,elstar
62,91.31,elstar
63,99.61,elstar
63,95.06,elstar
63,96.45,elstar
63,92.51,elstar
63,100.12,elstar
64,104.7,elstar
64,102.25,elstar
64,100.08,elstar
64,103.78,elstar
64,104.94,elstar
64,103.84,elstar
64,108.35,elstar
65,101.95,elstar
65,106,elstar
66,108.09,elstar
66,112.2,elstar
66,111.54,elstar
66,112.46,elstar
66,110.9,elstar
67,109.85,elstar
67,102.56,elstar
67,113.56,elstar
67,116.88,elstar
67,113.86,elstar
67,120.11,elstar
67,112.54,elstar
67,115.8,elstar
59,82.39,elstar
60,84.62,elstar
60,82.34,elstar
60,91.46,elstar
61,86.28,elstar
61,91.86,elstar
61,92.28,elstar
61,93.44,elstar
62,90.98,elstar
62,94.5,elstar
63,97.26,elstar
63,99.3,elstar
64,99.44,elstar
64,98.12,elstar
64,96.84,elstar
64,96.7,elstar
64,96.9,elstar
64,99.26,elstar
64,101.14,elstar
64,101.17,elstar
65,102.88,elstar
65,105.55,elstar
65,101.16,elstar
65,103.28,elstar
65,104.23,elstar
65,108.17,elstar
65,106.65,elstar
65,110.85,elstar
66,107.5,elstar
66,109.96,elstar
66,106.83,elstar
66,108.39,elstar
66,109.85,elstar
66,106.64,elstar
66,114.89,elstar
66,112.98,elstar
66,113.76,elstar
67,118.49,elstar
67,105.79,elstar
67,120.31,elstar
67,109.83,elstar
67,112.14,elstar
67,115.89,elstar
67,126.83,elstar
67,112.83,elstar
67,119.36,elstar
67,118.84,elstar
67,115.29,elstar
68,121.24,elstar
68,113.74,elstar
68,130.13,elstar
68,119.37,elstar
68,124.53,elstar
68,121.26,elstar
68,125.15,elstar
68,123.25,elstar
68,123.45,elstar
69,123.11,elstar
69,127.45,elstar
69,122.93,elstar
69,129.02,elstar
69,125.48,elstar
69,130.44,elstar
69,128.41,elstar
69,126.8,elstar
69,125.97,elstar
70,128.94,elstar
70,131.52,elstar
70,130.13,elstar
70,130.97,elstar
70,133.99,elstar
70,129.42,elstar
70,132.2,elstar
71,132.36,elstar
71,135.14,elstar
71,138.45,elstar
71,138.44,elstar
72,136.15,elstar
72,141.78,elstar
73,142.33,elstar
73,144.66,elstar
73,142.86,elstar
73,147.71,elstar
73,145.69,elstar
73,147.62,elstar
74,156.44,elstar
76,166.36,elstar
79,174.68,elstar
46,42.95,elstar
48,44.03,elstar
48,44.99,elstar
48,44.33,elstar
50,50.21,elstar
51,53.11,elstar
52,65.87,elstar
52,58.97,elstar
53,57.11,elstar
53,57.48,elstar
53,58.73,elstar
53,59.76,elstar
53,61.78,elstar
53,60.76,elstar
55,68.22,elstar
55,67.63,elstar
56,66.55,elstar
56,68.99,elstar
56,68.53,elstar
56,70.19,elstar
56,69.59,elstar
56,71.02,elstar
56,67.3,elstar
57,69.48,elstar
57,74.36,elstar
57,76.19,elstar
57,72.56,elstar
57,74.51,elstar
57,72.07,elstar
58,77.31,elstar
58,75.19,elstar
58,76.16,elstar
58,75.25,elstar
58,76.72,elstar
58,73.75,elstar
58,70.43,elstar
58,81.64,elstar
58,79.69,elstar
59,77.08,elstar
59,81.62,elstar
59,77.19,elstar
59,79.91,elstar
59,83.65,elstar
59,81.18,elstar
59,84.89,elstar
59,81.17,elstar
59,79.63,elstar
59,82.72,elstar
60,79.46,elstar
60,82.04,elstar
60,78.1,elstar
60,82.09,elstar
60,82.04,elstar
60,84.36,elstar
60,85.21,elstar
60,86.89,elstar
60,85.92,elstar
60,87.25,elstar
60,83.75,elstar
60,88.21,elstar
60,92.8,elstar
60,90.37,elstar
60,87.28,elstar
60,87.37,elstar
60,85.52,elstar
60,83.18,elstar
60,84.23,elstar
61,87.67,elstar
61,89.91,elstar
61,88.73,elstar
61,88.03,elstar
61,92.44,elstar
61,88.59,elstar
61,88.67,elstar
61,90.17,elstar
61,90.04,elstar
61,88.26,elstar
62,92.46,elstar
62,88.88,elstar
62,91.04,elstar
62,92.27,elstar
62,93.99,elstar
62,91.47,elstar
62,91.11,elstar
62,94.85,elstar
62,92.43,elstar
62,96.13,elstar
62,92.63,elstar
62,93.39,elstar
62,96.4,elstar
63,95.46,elstar
63,96.46,elstar
63,100.29,elstar
63,94.03,elstar
63,94.93,elstar
63,100.14,elstar
63,94.13,elstar
63,94.17,elstar
63,98.56,elstar
63,95.65,elstar
63,93.93,elstar
63,99.17,elstar
63,101.14,elstar
63,97.91,elstar
64,104.48,elstar
64,100.86,elstar
64,98.67,elstar
64,100.21,elstar
64,102.96,elstar
64,100.67,elstar
64,98.64,elstar
64,101.85,elstar
64,99.78,elstar
64,100.29,elstar
64,99.47,elstar
64,93.75,elstar
64,102.26,elstar
64,106.63,elstar
64,102.31,elstar
65,103.24,elstar
65,102.92,elstar
65,104.11,elstar
65,110.06,elstar
65,108.45,elstar
66,110.77,elstar
66,107.67,elstar
66,107.22,elstar
66,111.08,elstar
66,110.11,elstar
66,110.56,elstar
66,116.27,elstar
66,113.6,elstar
67,114.16,elstar
67,109.8,elstar
67,110.38,elstar
67,110.27,elstar
67,111.24,elstar
68,119.49,elstar
69,118.42,elstar
69,128.29,elstar
70,130.37,elstar
72,136.63,elstar
57,73.09,elstar
58,79.62,elstar
58,69.53,elstar
59,83.74,elstar
60,88.25,elstar
60,89.83,elstar
60,90.37,elstar
62,86.1,elstar
62,96.99,elstar
62,95.87,elstar
62,97.14,elstar
62,90.13,elstar
62,97.78,elstar
63,103.14,elstar
63,101.31,elstar
64,96.9,elstar
64,89.42,elstar
64,102.74,elstar
64,103.5,elstar
64,104.31,elstar
64,99.81,elstar
65,102.1,elstar
65,110.32,elstar
65,108.1,elstar
65,110.28,elstar
65,112.78,elstar
65,111.5,elstar
65,108.46,elstar
65,111.08,elstar
65,109.42,elstar
66,113.93,elstar
66,112.61,elstar
67,113.07,elstar
67,118.35,elstar
67,122.32,elstar
67,119.49,elstar
67,113.12,elstar
67,109.97,elstar
67,113.93,elstar
67,114.77,elstar
67,116.17,elstar
67,118.15,elstar
68,121.76,elstar
68,116.2,elstar
68,119.04,elstar
68,124.23,elstar
68,125.01,elstar
68,123.9,elstar
68,109.29,elstar
68,114.66,elstar
68,124.87,elstar
68,117.52,elstar
68,124.64,elstar
68,130.56,elstar
68,124.66,elstar
68,127.73,elstar
68,133.51,elstar
68,125.92,elstar
69,126.55,elstar
70,130.25,elstar
70,120.22,elstar
70,136.31,elstar
70,134.58,elstar
70,132.29,elstar
70,132.39,elstar
70,121.84,elstar
71,133.77,elstar
71,137,elstar
71,138.48,elstar
71,126.64,elstar
71,134.33,elstar
72,138.24,elstar
72,138.66,elstar
72,140.15,elstar
73,140.08,elstar
73,142.27,elstar
73,152.67,elstar
73,151.92,elstar
73,147.18,elstar
74,151.98,elstar
74,152.12,elstar
75,137.9,elstar
75,121.5,elstar
75,160.16,elstar
75,160.1,elstar
75,164.49,elstar
77,164.03,elstar
78,171.36,elstar
78,179.99,elstar
30,12.28,elstar
55,64.12,elstar
56,66.78,elstar
57,71.46,elstar
59,80.44,elstar
59,82.03,elstar
59,80.99,elstar
60,87.45,elstar
60,87.11,elstar
60,89.1,elstar
60,89.69,elstar
60,87.25,elstar
60,84.68,elstar
61,90.27,elstar
61,90.69,elstar
61,89.7,elstar
61,98.12,elstar
62,96.17,elstar
62,93.01,elstar
62,94.03,elstar
62,91.92,elstar
62,95.73,elstar
63,93.25,elstar
63,99.56,elstar
63,94.58,elstar
63,94.95,elstar
63,96,elstar
64,101.8,elstar
64,96.7,elstar
64,96.47,elstar
64,98.83,elstar
64,100.28,elstar
64,101.13,elstar
64,103.22,elstar
64,103.37,elstar
64,109.7,elstar
64,101.99,elstar
64,106.58,elstar
65,101.08,elstar
65,102.11,elstar
65,103.43,elstar
65,105.68,elstar
65,108.36,elstar
65,107.29,elstar
65,107.14,elstar
65,108.23,elstar
65,107.67,elstar
65,105.65,elstar
65,107.67,elstar
65,109.21,elstar
66,107.47,elstar
66,106.53,elstar
66,110.56,elstar
66,114.31,elstar
66,106.35,elstar
66,111.16,elstar
66,111.21,elstar
66,116.46,elstar
